city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm
sj,1990,18,1990-04-30,0.1226,0.103725,0.198483,0.177617,12.42,297.572857,297.742857,292.414286,299.8,295.9,32,73.365714,12.42,14.012857,2.628571,25.442857,6.9,29.4,20,16
sj,1990,19,1990-05-07,0.1699,0.142175,0.162357,0.155486,22.82,298.211429,298.442857,293.951429,300.9,296.4,17.94,77.368571,22.82,15.372857,2.371429,26.714286,6.371429,31.7,22.2,8.6
sj,1990,20,1990-05-14,0.03225,0.172967,0.1572,0.170843,34.54,298.781429,298.878571,295.434286,300.5,297.3,26.1,82.052857,34.54,16.848571,2.3,26.714286,6.485714,32.2,22.8,41.4
sj,1990,21,1990-05-21,0.128633,0.245067,0.227557,0.235886,15.36,298.987143,299.228571,295.31,301.4,297,13.9,80.337143,15.36,16.672857,2.428571,27.471429,6.771429,33.3,23.3,4
sj,1990,22,1990-05-28,0.1962,0.2622,0.2512,0.24734,7.52,299.518571,299.664286,295.821429,301.9,297.5,12.2,80.46,7.52,17.21,3.014286,28.942857,9.371429,35,23.9,5.8
sj,1990,23,1990-06-04,0.142294,0.17485,0.254314,0.181743,9.58,299.63,299.764286,295.851429,302.4,298.1,26.49,79.891429,9.58,17.212857,2.1,28.114286,6.942857,34.4,23.9,39.1
sj,1990,24,1990-06-11,0.1129,0.0928,0.205071,0.210271,3.48,299.207143,299.221429,295.865714,301.3,297.7,38.6,82,3.48,17.234286,2.042857,27.414286,6.771429,32.2,23.3,29.7
sj,1990,25,1990-06-18,0.0725,0.0725,0.151471,0.133029,151.12,299.591429,299.528571,296.531429,300.6,298.4,30,83.375714,151.12,17.977143,1.571429,28.371429,7.685714,33.9,22.8,21.1
sj,1990,26,1990-06-25,0.10245,0.146175,0.125571,0.1236,19.32,299.578571,299.557143,296.378571,302.1,297.7,37.51,82.768571,19.32,17.79,1.885714,28.328571,7.385714,33.9,22.8,21.1
sj,1990,27,1990-07-02,0.142294,0.12155,0.160683,0.202567,14.41,300.154286,300.278571,296.651429,302.3,298.7,28.4,81.281429,14.41,18.071429,2.014286,28.328571,6.514286,33.9,24.4,1.1
sj,1990,28,1990-07-09,0.192875,0.08235,0.191943,0.152929,22.27,299.512857,299.592857,296.041429,301.8,298,43.72,81.467143,22.27,17.418571,2.157143,27.557143,7.157143,31.7,21.7,63.7
sj,1990,29,1990-07-16,0.2916,0.2118,0.3012,0.280667,59.17,299.667143,299.75,296.334286,302,297.3,40.9,82.144286,59.17,17.737143,2.414286,28.128571,6.9,32.8,23.9,12.2
sj,1990,30,1990-07-23,0.150567,0.1717,0.2269,0.214557,16.48,299.558571,299.635714,295.96,301.8,297.1,42.53,80.742857,16.48,17.341429,2.071429,28.114286,6.357143,31.7,22.8,32.6
sj,1990,31,1990-07-30,0.142294,0.24715,0.3797,0.381357,32.66,299.862857,299.95,296.172857,303,298.3,34.6,80.584286,32.66,17.594286,2.585714,28.242857,8.085714,34.4,22.8,37.6
sj,1990,32,1990-08-06,0.142294,0.064333,0.164443,0.138857,28.8,300.391429,300.478571,296.532857,302.5,298.8,20,79.65,28.8,17.95,2.328571,28.2,7.557143,33.3,23.3,11.4
sj,1990,33,1990-08-13,0.142294,0.128033,0.206957,0.168243,90.75,299.958571,299.957143,297.035714,302.6,298.5,101.9,84.178571,90.75,18.515714,1.857143,28.042857,6.685714,32.8,22.8,44.7
sj,1990,34,1990-08-20,0.190233,0.1688,0.167657,0.172286,32.4,300.332857,300.414286,296.728571,302.5,298.1,25.9,80.947143,32.4,18.174286,2.485714,28.342857,7.014286,33.3,23.3,5.4
sj,1990,35,1990-08-27,0.2529,0.33075,0.264171,0.284314,40.94,300.118571,300.221429,297.017143,302.2,298.7,39.8,83.348571,40.94,18.515714,1.9,28.657143,6.528571,32.2,24.4,13.7
sj,1990,36,1990-09-03,0.2354,0.200025,0.283817,0.230443,28.86,300.53,300.635714,296.117143,303.8,298,30.4,77.172857,28.86,17.56,3.471429,28.328571,7.614286,32.8,23.3,14.2
sj,1990,37,1990-09-10,0.127967,0.4371,0.1234,0.148283,64.56,300.674286,300.792857,297.192857,302.9,299,24.18,81.551429,64.56,18.777143,2.9,28.685714,8.057143,33.9,24.4,25.9
sj,1990,38,1990-09-17,0.19635,0.182433,0.254829,0.305686,143.73,299.857143,299.9,296.431429,301.7,298.7,36.6,81.637143,143.73,17.892857,1.742857,28.242857,8.114286,32.8,23.9,3.3
sj,1990,39,1990-09-24,0.1161,0.2609,0.199443,0.244217,51.39,300.427143,300.6,296.028571,302.4,299.1,16.4,77.048571,51.39,17.468571,2.257143,28.342857,7.728571,32.8,24.4,15.8
sj,1990,40,1990-10-01,0.22855,0.18975,0.212486,0.201186,31.18,300.775714,300.85,296.664286,303.3,299.1,36.1,78.52,31.18,18.18,2.9,28.771429,8.028571,33.3,23.9,11.7
sj,1990,41,1990-10-08,0.17115,0.06755,0.179467,0.157717,51.42,299.857143,299.942857,296.928571,301.8,298.1,132.4,84.11,51.42,18.512857,2.571429,28.628571,7.314286,33.3,24.4,57.7
