city,TimeIndex,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases
1,555,2000,26,2000-07-01,0.192886,0.132257,0.340886,0.2472,25.41,296.74,298.45,295.184286,307.3,293.1,43.19,92.418571,25.41,16.651429,8.928571,26.4,10.775,32.5,20.7,3,0
1,556,2000,27,2000-07-08,0.216833,0.2761,0.289457,0.241657,60.61,296.634286,298.428571,295.358571,306.6,291.1,46,93.581429,60.61,16.862857,10.314286,26.9,11.566667,34,20.8,55.6,0
1,557,2000,28,2000-07-15,0.176757,0.173129,0.204114,0.128014,55.52,296.415714,297.392857,295.622857,304.5,292.6,64.77,95.848571,55.52,17.12,7.385714,26.8,11.466667,33,20.7,38.1,0
1,558,2000,29,2000-07-22,0.227729,0.145429,0.2542,0.200314,5.6,295.357143,296.228571,292.797143,303.6,288.6,23.96,87.234286,5.6,14.431429,9.114286,25.766667,10.533333,31.5,14.7,30,0
1,559,2000,30,2000-07-29,0.328643,0.322129,0.254371,0.361043,62.76,296.432857,297.635714,293.957143,307,291.5,31.8,88.161429,62.76,15.444286,9.5,26.6,11.48,33.3,19.1,4,0
1,560,2000,31,2000-08-05,0.205529,0.190757,0.231671,0.255314,16.24,297.191429,298.285714,291.725714,306.2,288.5,1,74.728571,16.24,13.421429,13.771429,25.34,10.94,32,17,11.5,0
1,561,2000,32,2000-08-12,0.312486,0.329986,0.380586,0.387271,89.37,297.32,298.978571,293.821429,308.8,292.1,26.68,83.275714,89.37,15.311429,11.471429,27.016667,11.65,34,19.9,72.9,0
1,562,2000,33,2000-08-19,0.384133,0.39224,0.34178,0.38275,42.08,297.627143,299.335714,293.992857,307.9,290.6,16.9,82.49,42.08,15.465714,13.7,26.583333,10.316667,33,20.5,50.1,0
1,563,2000,34,2000-08-26,0.408157,0.322157,0.406714,0.302714,49.22,298.238571,299.571429,292.904286,310.1,291.3,5.59,74.74,49.22,14.444286,13.771429,26.9,13.4,34,19,89.2,0
1,564,2000,35,2000-09-02,0.332043,0.321057,0.314614,0.324257,53.65,299.218571,300.928571,293.472857,310.5,292.9,16.07,74.151429,53.65,15.057143,12.457143,27.116667,12.266667,34,20,78,0
1,565,2000,36,2000-09-09,0.295586,0.295683,0.312214,0.265929,23.12,300.802857,301.935714,290.635714,312.8,291.5,2.5,57.787143,23.12,12.652857,14.9,28.366667,12.9,35.8,21.7,56.9,1
1,566,2000,37,2000-09-16,0.284657,0.309757,0.387883,0.328157,34.62,299.858571,301.371429,293.64,310.7,292.3,4.1,71.66,34.62,15.227143,13.857143,27.425,12.775,34.5,20.5,18.9,0
1,567,2000,38,2000-09-23,0.348814,0.295717,0.404843,0.242571,97.55,297.435714,298.514286,292.707143,310.2,288.3,3.2,77.487143,97.55,14.338571,11.314286,27.533333,12.566667,36,20.5,104.2,0
1,568,2000,39,2000-09-30,0.175686,0.099483,0.225714,0.182786,95.89,299.355714,300.885714,293.217143,310.8,290,2.6,71.462857,95.89,14.798571,14.942857,27.15,12.175,34,20.5,57.9,0
1,569,2000,40,2000-10-07,0.33754,0.276943,0.2775,0.25505,46.22,298.372857,300.5,294.664286,309.8,292.7,16.6,82.371429,46.22,16.148571,11.971429,26.7,11.675,34,20,63,0
1,570,2000,41,2000-10-14,0.223533,0.133914,0.3498,0.100917,31.1,298.474286,300.285714,294.592857,309.2,291.9,21.9,81.522857,31.1,16.071429,13.485714,27.657143,11.3,34,21,3,1
1,571,2000,42,2000-10-21,0.2748,0.187057,0.373943,0.279471,25.21,299.211429,301.15,294.007143,311.8,292.3,9.9,75.54,25.21,15.528571,14.928571,27.775,12.275,36,21,45.2,1
