city,year,weekofyear,total_cases
sj,2008,18,23
sj,2008,19,18
sj,2008,20,20
sj,2008,21,19
sj,2008,22,20
sj,2008,23,19
sj,2008,24,14
sj,2008,25,20
sj,2008,26,19
sj,2008,27,16
sj,2008,28,17
sj,2008,29,17
sj,2008,30,19
sj,2008,31,25
sj,2008,32,22
sj,2008,33,27
sj,2008,34,28
sj,2008,35,36
sj,2008,36,45
sj,2008,37,51
sj,2008,38,47
sj,2008,39,33
sj,2008,40,57
sj,2008,41,41
sj,2008,42,41
sj,2008,43,51
sj,2008,44,37
sj,2008,45,44
sj,2008,46,42
sj,2008,47,35
sj,2008,48,41
sj,2008,49,29
sj,2008,50,29
sj,2008,51,36
sj,2008,52,21
sj,2009,1,26
sj,2009,2,19
sj,2009,3,12
sj,2009,4,20
sj,2009,5,14
sj,2009,6,13
sj,2009,7,14
sj,2009,8,8
sj,2009,9,11
sj,2009,10,13
sj,2009,11,14
sj,2009,12,11
sj,2009,13,11
sj,2009,14,12
sj,2009,15,11
sj,2009,16,9
sj,2009,17,7
sj,2009,18,6
sj,2009,19,5
sj,2009,20,5
sj,2009,21,7
sj,2009,22,6
sj,2009,23,8
sj,2009,24,10
sj,2009,25,9
sj,2009,26,13
sj,2009,27,18
sj,2009,28,24
sj,2009,29,23
sj,2009,30,25
sj,2009,31,28
sj,2009,32,27
sj,2009,33,44
sj,2009,34,33
sj,2009,35,41
sj,2009,36,44
sj,2009,37,36
sj,2009,38,49
sj,2009,39,46
sj,2009,40,49
sj,2009,41,46
sj,2009,42,50
sj,2009,43,50
sj,2009,44,44
sj,2009,45,47
sj,2009,46,41
sj,2009,47,42
sj,2009,48,47
sj,2009,49,30
sj,2009,50,30
sj,2009,51,35
sj,2009,52,33
sj,2010,53,34
sj,2010,1,37
sj,2010,2,28
sj,2010,3,26
sj,2010,4,25
sj,2010,5,21
sj,2010,6,32
sj,2010,7,20
sj,2010,8,25
sj,2010,9,30
sj,2010,10,22
sj,2010,11,28
sj,2010,12,22
sj,2010,13,13
sj,2010,14,26
sj,2010,15,19
sj,2010,16,12
sj,2010,17,17
sj,2010,18,23
sj,2010,19,18
sj,2010,20,22
sj,2010,21,17
sj,2010,22,21
sj,2010,23,32
sj,2010,24,28
sj,2010,25,24
sj,2010,26,24
sj,2010,27,34
sj,2010,28,69
sj,2010,29,53
sj,2010,30,41
sj,2010,31,54
sj,2010,32,65
sj,2010,33,78
sj,2010,34,87
sj,2010,35,60
sj,2010,36,76
sj,2010,37,65
sj,2010,38,81
sj,2010,39,58
sj,2010,40,62
sj,2010,41,69
sj,2010,42,55
sj,2010,43,49
sj,2010,44,54
sj,2010,45,60
sj,2010,46,42
sj,2010,47,39
sj,2010,48,40
sj,2010,49,37
sj,2010,50,32
sj,2010,51,25
sj,2011,52,18
sj,2011,1,22
sj,2011,2,15
sj,2011,3,9
sj,2011,4,16
sj,2011,5,8
sj,2011,6,11
sj,2011,7,9
sj,2011,8,6
sj,2011,9,17
sj,2011,10,17
sj,2011,11,15
sj,2011,12,10
sj,2011,13,15
sj,2011,14,13
sj,2011,15,9
sj,2011,16,10
sj,2011,17,6
sj,2011,18,9
sj,2011,19,9
sj,2011,20,9
sj,2011,21,10
sj,2011,22,6
sj,2011,23,9
sj,2011,24,24
sj,2011,25,20
sj,2011,26,27
sj,2011,27,25
sj,2011,28,21
sj,2011,29,35
sj,2011,30,36
sj,2011,31,45
sj,2011,32,55
sj,2011,33,68
sj,2011,34,65
sj,2011,35,90
sj,2011,36,80
sj,2011,37,80
sj,2011,38,63
sj,2011,39,60
sj,2011,40,69
sj,2011,41,60
sj,2011,42,58
sj,2011,43,56
sj,2011,44,45
sj,2011,45,54
sj,2011,46,47
sj,2011,47,44
sj,2011,48,41
sj,2011,49,34
sj,2011,50,39
sj,2011,51,34
sj,2012,52,33
sj,2012,1,31
sj,2012,2,19
sj,2012,3,24
sj,2012,4,24
sj,2012,5,16
sj,2012,6,17
sj,2012,7,17
sj,2012,8,11
sj,2012,9,16
sj,2012,10,9
sj,2012,11,9
sj,2012,12,14
sj,2012,13,14
sj,2012,14,13
sj,2012,15,11
sj,2012,16,15
sj,2012,17,16
sj,2012,18,15
sj,2012,19,11
sj,2012,20,12
sj,2012,21,19
sj,2012,22,15
sj,2012,23,14
sj,2012,24,21
sj,2012,25,24
sj,2012,26,36
sj,2012,27,28
sj,2012,28,22
sj,2012,29,42
sj,2012,30,28
sj,2012,31,43
sj,2012,32,39
sj,2012,33,34
sj,2012,34,44
sj,2012,35,43
sj,2012,36,48
sj,2012,37,51
sj,2012,38,58
sj,2012,39,48
sj,2012,40,49
sj,2012,41,48
sj,2012,42,53
sj,2012,43,51
sj,2012,44,62
sj,2012,45,48
sj,2012,46,42
sj,2012,47,36
sj,2012,48,36
sj,2012,49,35
sj,2012,50,50
sj,2012,51,39
sj,2013,1,39
sj,2013,2,31
sj,2013,3,29
sj,2013,4,35
sj,2013,5,22
sj,2013,6,21
sj,2013,7,23
sj,2013,8,18
sj,2013,9,16
sj,2013,10,14
sj,2013,11,12
sj,2013,12,14
sj,2013,13,13
sj,2013,14,8
sj,2013,15,8
sj,2013,16,10
sj,2013,17,7
iq,2010,26,7
iq,2010,27,5
iq,2010,28,8
iq,2010,29,1
iq,2010,30,2
iq,2010,31,5
iq,2010,32,4
iq,2010,33,6
iq,2010,34,5
iq,2010,35,6
iq,2010,36,6
iq,2010,37,6
iq,2010,38,5
iq,2010,39,5
iq,2010,40,5
iq,2010,41,5
iq,2010,42,6
iq,2010,43,9
iq,2010,44,13
iq,2010,45,6
iq,2010,46,8
iq,2010,47,9
iq,2010,48,10
iq,2010,49,12
iq,2010,50,9
iq,2010,51,6
iq,2011,52,8
iq,2011,1,7
iq,2011,2,9
iq,2011,3,7
iq,2011,4,6
iq,2011,5,6
iq,2011,6,7
iq,2011,7,8
iq,2011,8,8
iq,2011,9,9
iq,2011,10,8
iq,2011,11,8
iq,2011,12,8
iq,2011,13,9
iq,2011,14,8
iq,2011,15,8
iq,2011,16,8
iq,2011,17,9
iq,2011,18,10
iq,2011,19,5
iq,2011,20,7
iq,2011,21,8
iq,2011,22,7
iq,2011,23,6
iq,2011,24,7
iq,2011,25,5
iq,2011,26,6
iq,2011,27,6
iq,2011,28,3
iq,2011,29,4
iq,2011,30,5
iq,2011,31,4
iq,2011,32,4
iq,2011,33,5
iq,2011,34,2
iq,2011,35,2
iq,2011,36,5
iq,2011,37,6
iq,2011,38,6
iq,2011,39,8
iq,2011,40,6
iq,2011,41,8
iq,2011,42,14
iq,2011,43,7
iq,2011,44,6
iq,2011,45,8
iq,2011,46,9
iq,2011,47,9
iq,2011,48,10
iq,2011,49,10
iq,2011,50,9
iq,2011,51,10
iq,2012,52,10
iq,2012,1,9
iq,2012,2,8
iq,2012,3,7
iq,2012,4,7
iq,2012,5,9
iq,2012,6,11
iq,2012,7,8
iq,2012,8,7
iq,2012,9,5
iq,2012,10,8
iq,2012,11,7
iq,2012,12,5
iq,2012,13,8
iq,2012,14,7
iq,2012,15,11
iq,2012,16,11
iq,2012,17,8
iq,2012,18,8
iq,2012,19,4
iq,2012,20,7
iq,2012,21,5
iq,2012,22,6
iq,2012,23,5
iq,2012,24,2
iq,2012,25,4
iq,2012,26,4
iq,2012,27,4
iq,2012,28,4
iq,2012,29,5
iq,2012,30,2
iq,2012,31,4
iq,2012,32,2
iq,2012,33,3
iq,2012,34,4
iq,2012,35,5
iq,2012,36,4
iq,2012,37,5
iq,2012,38,4
iq,2012,39,5
iq,2012,40,3
iq,2012,41,10
iq,2012,42,6
iq,2012,43,11
iq,2012,44,9
iq,2012,45,9
iq,2012,46,13
iq,2012,47,14
iq,2012,48,15
iq,2012,49,10
iq,2012,50,10
iq,2012,51,12
iq,2013,1,11
iq,2013,2,6
iq,2013,3,8
iq,2013,4,10
iq,2013,5,9
iq,2013,6,11
iq,2013,7,10
iq,2013,8,10
iq,2013,9,8
iq,2013,10,10
iq,2013,11,11
iq,2013,12,15
iq,2013,13,11
iq,2013,14,9
iq,2013,15,9
iq,2013,16,11
iq,2013,17,8
iq,2013,18,2
iq,2013,19,10
iq,2013,20,7
iq,2013,21,7
iq,2013,22,7
iq,2013,23,6
iq,2013,24,5
iq,2013,25,5
iq,2013,26,5
