city,year,weekofyear,total_cases
sj,2008,18,27
sj,2008,19,26
sj,2008,20,25
sj,2008,21,19
sj,2008,22,36
sj,2008,23,35
sj,2008,24,34
sj,2008,25,38
sj,2008,26,33
sj,2008,27,46
sj,2008,28,46
sj,2008,29,40
sj,2008,30,36
sj,2008,31,46
sj,2008,32,54
sj,2008,33,55
sj,2008,34,48
sj,2008,35,64
sj,2008,36,65
sj,2008,37,65
sj,2008,38,65
sj,2008,39,51
sj,2008,40,53
sj,2008,41,33
sj,2008,42,49
sj,2008,43,44
sj,2008,44,30
sj,2008,45,31
sj,2008,46,37
sj,2008,47,37
sj,2008,48,33
sj,2008,49,30
sj,2008,50,25
sj,2008,51,18
sj,2008,52,22
sj,2009,1,28
sj,2009,2,19
sj,2009,3,16
sj,2009,4,17
sj,2009,5,22
sj,2009,6,21
sj,2009,7,23
sj,2009,8,21
sj,2009,9,20
sj,2009,10,17
sj,2009,11,20
sj,2009,12,24
sj,2009,13,21
sj,2009,14,20
sj,2009,15,18
sj,2009,16,16
sj,2009,17,20
sj,2009,18,25
sj,2009,19,27
sj,2009,20,26
sj,2009,21,23
sj,2009,22,27
sj,2009,23,24
sj,2009,24,34
sj,2009,25,36
sj,2009,26,36
sj,2009,27,36
sj,2009,28,48
sj,2009,29,63
sj,2009,30,56
sj,2009,31,62
sj,2009,32,55
sj,2009,33,59
sj,2009,34,58
sj,2009,35,51
sj,2009,36,54
sj,2009,37,69
sj,2009,38,63
sj,2009,39,50
sj,2009,40,58
sj,2009,41,48
sj,2009,42,62
sj,2009,43,72
sj,2009,44,60
sj,2009,45,50
sj,2009,46,59
sj,2009,47,47
sj,2009,48,38
sj,2009,49,37
sj,2009,50,32
sj,2009,51,29
sj,2009,52,31
sj,2010,53,27
sj,2010,1,28
sj,2010,2,30
sj,2010,3,26
sj,2010,4,20
sj,2010,5,19
sj,2010,6,21
sj,2010,7,17
sj,2010,8,24
sj,2010,9,26
sj,2010,10,34
sj,2010,11,39
sj,2010,12,22
sj,2010,13,22
sj,2010,14,44
sj,2010,15,37
sj,2010,16,29
sj,2010,17,27
sj,2010,18,28
sj,2010,19,39
sj,2010,20,46
sj,2010,21,31
sj,2010,22,47
sj,2010,23,47
sj,2010,24,47
sj,2010,25,62
sj,2010,26,59
sj,2010,27,39
sj,2010,28,41
sj,2010,29,62
sj,2010,30,70
sj,2010,31,42
sj,2010,32,38
sj,2010,33,58
sj,2010,34,70
sj,2010,35,56
sj,2010,36,67
sj,2010,37,64
sj,2010,38,61
sj,2010,39,51
sj,2010,40,56
sj,2010,41,48
sj,2010,42,44
sj,2010,43,42
sj,2010,44,44
sj,2010,45,46
sj,2010,46,42
sj,2010,47,35
sj,2010,48,26
sj,2010,49,33
sj,2010,50,20
sj,2010,51,16
sj,2011,52,21
sj,2011,1,19
sj,2011,2,19
sj,2011,3,12
sj,2011,4,17
sj,2011,5,18
sj,2011,6,17
sj,2011,7,15
sj,2011,8,19
sj,2011,9,24
sj,2011,10,18
sj,2011,11,18
sj,2011,12,18
sj,2011,13,17
sj,2011,14,16
sj,2011,15,19
sj,2011,16,28
sj,2011,17,20
sj,2011,18,20
sj,2011,19,24
sj,2011,20,24
sj,2011,21,27
sj,2011,22,29
sj,2011,23,26
sj,2011,24,42
sj,2011,25,31
sj,2011,26,42
sj,2011,27,45
sj,2011,28,46
sj,2011,29,39
sj,2011,30,42
sj,2011,31,36
sj,2011,32,56
sj,2011,33,42
sj,2011,34,49
sj,2011,35,56
sj,2011,36,42
sj,2011,37,36
sj,2011,38,51
sj,2011,39,54
sj,2011,40,31
sj,2011,41,40
sj,2011,42,49
sj,2011,43,37
sj,2011,44,41
sj,2011,45,33
sj,2011,46,37
sj,2011,47,30
sj,2011,48,31
sj,2011,49,30
sj,2011,50,24
sj,2011,51,22
sj,2012,52,21
sj,2012,1,18
sj,2012,2,20
sj,2012,3,22
sj,2012,4,19
sj,2012,5,18
sj,2012,6,15
sj,2012,7,15
sj,2012,8,16
sj,2012,9,18
sj,2012,10,15
sj,2012,11,21
sj,2012,12,20
