city,year,weekofyear,total_cases
sj,2008,18,20
sj,2008,19,33
sj,2008,20,20
sj,2008,21,20
sj,2008,22,33
sj,2008,23,20
sj,2008,24,44
sj,2008,25,46
sj,2008,26,37
sj,2008,27,46
sj,2008,28,23
sj,2008,29,53
sj,2008,30,53
sj,2008,31,53
sj,2008,32,41
sj,2008,33,62
sj,2008,34,53
sj,2008,35,54
sj,2008,36,77
sj,2008,37,55
sj,2008,38,54
sj,2008,39,53
sj,2008,40,56
sj,2008,41,53
sj,2008,42,50
sj,2008,43,23
sj,2008,44,62
sj,2008,45,50
sj,2008,46,22
sj,2008,47,21
sj,2008,48,37
sj,2008,49,37
sj,2008,50,23
sj,2008,51,21
sj,2008,52,20
sj,2009,1,20
sj,2009,2,20
sj,2009,3,20
sj,2009,4,20
sj,2009,5,20
sj,2009,6,20
sj,2009,7,20
sj,2009,8,20
sj,2009,9,20
sj,2009,10,20
sj,2009,11,33
sj,2009,12,20
sj,2009,13,20
sj,2009,14,20
sj,2009,15,20
sj,2009,16,20
sj,2009,17,20
sj,2009,18,20
sj,2009,19,33
sj,2009,20,21
sj,2009,21,21
sj,2009,22,21
sj,2009,23,20
sj,2009,24,34
sj,2009,25,20
sj,2009,26,37
sj,2009,27,41
sj,2009,28,41
sj,2009,29,47
sj,2009,30,53
sj,2009,31,56
sj,2009,32,53
sj,2009,33,56
sj,2009,34,56
sj,2009,35,57
sj,2009,36,77
sj,2009,37,53
sj,2009,38,62
sj,2009,39,56
sj,2009,40,57
sj,2009,41,54
sj,2009,42,54
sj,2009,43,53
sj,2009,44,56
sj,2009,45,56
sj,2009,46,56
sj,2009,47,53
sj,2009,48,53
sj,2009,49,52
sj,2009,50,23
sj,2009,51,41
sj,2009,52,22
sj,2010,53,21
sj,2010,1,21
sj,2010,2,21
sj,2010,3,22
sj,2010,4,21
sj,2010,5,20
sj,2010,6,20
sj,2010,7,20
sj,2010,8,20
sj,2010,9,20
sj,2010,10,33
sj,2010,11,20
sj,2010,12,21
sj,2010,13,36
sj,2010,14,20
sj,2010,15,20
sj,2010,16,46
sj,2010,17,47
sj,2010,18,21
sj,2010,19,20
sj,2010,20,20
sj,2010,21,41
sj,2010,22,64
sj,2010,23,27
sj,2010,24,43
sj,2010,25,51
sj,2010,26,54
sj,2010,27,59
sj,2010,28,59
sj,2010,29,37
sj,2010,30,26
sj,2010,31,54
sj,2010,32,64
sj,2010,33,45
sj,2010,34,36
sj,2010,35,58
sj,2010,36,62
sj,2010,37,57
sj,2010,38,54
sj,2010,39,53
sj,2010,40,54
sj,2010,41,58
sj,2010,42,53
sj,2010,43,43
sj,2010,44,48
sj,2010,45,50
sj,2010,46,46
sj,2010,47,46
sj,2010,48,43
sj,2010,49,25
sj,2010,50,20
sj,2010,51,20
sj,2011,52,20
sj,2011,1,32
sj,2011,2,20
sj,2011,3,20
sj,2011,4,20
sj,2011,5,20
sj,2011,6,20
sj,2011,7,20
sj,2011,8,20
sj,2011,9,20
sj,2011,10,20
sj,2011,11,20
sj,2011,12,20
sj,2011,13,20
sj,2011,14,20
sj,2011,15,20
sj,2011,16,20
sj,2011,17,20
