city,year,weekofyear,total_cases
sj,2008,18,25
sj,2008,19,25
sj,2008,20,29
sj,2008,21,28
sj,2008,22,29
sj,2008,23,29
sj,2008,24,31
sj,2008,25,35
sj,2008,26,38
sj,2008,27,39
sj,2008,28,36
sj,2008,29,37
sj,2008,30,40
sj,2008,31,40
sj,2008,32,45
sj,2008,33,49
sj,2008,34,51
sj,2008,35,54
sj,2008,36,62
sj,2008,37,62
sj,2008,38,56
sj,2008,39,50
sj,2008,40,53
sj,2008,41,46
sj,2008,42,43
sj,2008,43,39
sj,2008,44,36
sj,2008,45,38
sj,2008,46,37
sj,2008,47,35
sj,2008,48,31
sj,2008,49,25
sj,2008,50,23
sj,2008,51,24
sj,2008,52,23
sj,2009,1,22
sj,2009,2,22
sj,2009,3,22
sj,2009,4,23
sj,2009,5,24
sj,2009,6,22
sj,2009,7,21
sj,2009,8,20
sj,2009,9,20
sj,2009,10,20
sj,2009,11,21
sj,2009,12,20
sj,2009,13,20
sj,2009,14,20
sj,2009,15,21
sj,2009,16,21
sj,2009,17,22
sj,2009,18,23
sj,2009,19,23
sj,2009,20,24
sj,2009,21,25
sj,2009,22,32
sj,2009,23,33
sj,2009,24,33
sj,2009,25,35
sj,2009,26,37
sj,2009,27,40
sj,2009,28,43
sj,2009,29,45
sj,2009,30,48
sj,2009,31,50
sj,2009,32,48
sj,2009,33,47
sj,2009,34,47
sj,2009,35,51
sj,2009,36,51
sj,2009,37,52
sj,2009,38,50
sj,2009,39,48
sj,2009,40,51
sj,2009,41,53
sj,2009,42,56
sj,2009,43,55
sj,2009,44,49
sj,2009,45,42
sj,2009,46,40
sj,2009,47,41
sj,2009,48,42
sj,2009,49,36
sj,2009,50,33
sj,2009,51,31
sj,2009,52,30
sj,2010,53,29
sj,2010,1,28
sj,2010,2,27
sj,2010,3,25
sj,2010,4,25
sj,2010,5,23
sj,2010,6,23
sj,2010,7,25
sj,2010,8,26
sj,2010,9,31
sj,2010,10,31
sj,2010,11,30
sj,2010,12,34
sj,2010,13,32
sj,2010,14,30
sj,2010,15,27
sj,2010,16,29
sj,2010,17,36
sj,2010,18,41
sj,2010,19,37
sj,2010,20,38
sj,2010,21,41
sj,2010,22,51
sj,2010,23,55
sj,2010,24,52
sj,2010,25,50
sj,2010,26,51
sj,2010,27,56
sj,2010,28,62
sj,2010,29,58
sj,2010,30,55
sj,2010,31,55
sj,2010,32,60
sj,2010,33,58
sj,2010,34,61
sj,2010,35,63
sj,2010,36,64
sj,2010,37,62
sj,2010,38,59
sj,2010,39,53
sj,2010,40,54
sj,2010,41,58
sj,2010,42,51
sj,2010,43,44
sj,2010,44,42
sj,2010,45,43
sj,2010,46,36
sj,2010,47,29
sj,2010,48,26
sj,2010,49,24
sj,2010,50,25
sj,2010,51,24
sj,2011,52,21
sj,2011,1,19
sj,2011,2,21
sj,2011,3,21
sj,2011,4,21
sj,2011,5,20
sj,2011,6,20
sj,2011,7,20
sj,2011,8,20
sj,2011,9,18
sj,2011,10,19
sj,2011,11,19
sj,2011,12,18
sj,2011,13,20
sj,2011,14,23
sj,2011,15,22
sj,2011,16,21
sj,2011,17,21
sj,2011,18,22
sj,2011,19,21
sj,2011,20,26
sj,2011,21,30
sj,2011,22,35
sj,2011,23,37
sj,2011,24,47
sj,2011,25,51
sj,2011,26,51
sj,2011,27,48
sj,2011,28,47
sj,2011,29,43
sj,2011,30,47
sj,2011,31,45
sj,2011,32,51
sj,2011,33,51
sj,2011,34,53
sj,2011,35,52
sj,2011,36,48
sj,2011,37,49
sj,2011,38,45
sj,2011,39,46
sj,2011,40,49
sj,2011,41,45
sj,2011,42,42
sj,2011,43,36
sj,2011,44,40
sj,2011,45,38
sj,2011,46,36
sj,2011,47,34
sj,2011,48,31
sj,2011,49,27
sj,2011,50,26
sj,2011,51,23
sj,2012,52,21
sj,2012,1,22
sj,2012,2,21
sj,2012,3,20
sj,2012,4,19
sj,2012,5,18
sj,2012,6,18
sj,2012,7,19
sj,2012,8,18
sj,2012,9,19
sj,2012,10,19
sj,2012,11,19
sj,2012,12,19
sj,2012,13,20
sj,2012,14,21
sj,2012,15,23
sj,2012,16,23
sj,2012,17,24
sj,2012,18,27
sj,2012,19,26
sj,2012,20,31
sj,2012,21,32
sj,2012,22,29
sj,2012,23,35
sj,2012,24,37
sj,2012,25,40
sj,2012,26,43
sj,2012,27,43
sj,2012,28,42
sj,2012,29,43
sj,2012,30,44
sj,2012,31,43
sj,2012,32,44
sj,2012,33,48
sj,2012,34,47
sj,2012,35,45
sj,2012,36,41
sj,2012,37,40
sj,2012,38,41
sj,2012,39,45
sj,2012,40,46
sj,2012,41,42
sj,2012,42,49
sj,2012,43,49
sj,2012,44,52
sj,2012,45,45
sj,2012,46,42
sj,2012,47,41
sj,2012,48,36
sj,2012,49,31
sj,2012,50,28
sj,2012,51,25
sj,2013,1,26
sj,2013,2,23
sj,2013,3,21
sj,2013,4,19
sj,2013,5,20
sj,2013,6,20
sj,2013,7,19
sj,2013,8,19
sj,2013,9,19
sj,2013,10,21
sj,2013,11,20
sj,2013,12,21
sj,2013,13,24
sj,2013,14,23
sj,2013,15,25
sj,2013,16,25
sj,2013,17,24
iq,2010,26,7
iq,2010,27,6
iq,2010,28,7
iq,2010,29,4
iq,2010,30,3
iq,2010,31,4
iq,2010,32,4
iq,2010,33,4
iq,2010,34,4
iq,2010,35,5
iq,2010,36,6
iq,2010,37,5
iq,2010,38,5
iq,2010,39,5
iq,2010,40,5
iq,2010,41,5
iq,2010,42,5
iq,2010,43,7
iq,2010,44,9
iq,2010,45,8
iq,2010,46,8
iq,2010,47,8
iq,2010,48,9
iq,2010,49,10
iq,2010,50,9
iq,2010,51,7
iq,2011,52,7
iq,2011,1,7
iq,2011,2,7
iq,2011,3,7
iq,2011,4,6
iq,2011,5,6
iq,2011,6,7
iq,2011,7,8
iq,2011,8,8
iq,2011,9,8
iq,2011,10,8
iq,2011,11,8
iq,2011,12,8
iq,2011,13,9
iq,2011,14,9
iq,2011,15,8
iq,2011,16,8
iq,2011,17,9
iq,2011,18,9
iq,2011,19,7
iq,2011,20,8
iq,2011,21,8
iq,2011,22,8
iq,2011,23,7
iq,2011,24,7
iq,2011,25,6
iq,2011,26,7
iq,2011,27,7
iq,2011,28,5
iq,2011,29,5
iq,2011,30,5
iq,2011,31,5
iq,2011,32,4
iq,2011,33,4
iq,2011,34,3
iq,2011,35,3
iq,2011,36,4
iq,2011,37,5
iq,2011,38,5
iq,2011,39,7
iq,2011,40,7
iq,2011,41,7
iq,2011,42,10
iq,2011,43,9
iq,2011,44,8
iq,2011,45,8
iq,2011,46,9
iq,2011,47,8
iq,2011,48,9
iq,2011,49,9
iq,2011,50,9
iq,2011,51,10
iq,2012,52,10
iq,2012,1,10
iq,2012,2,9
iq,2012,3,8
iq,2012,4,7
iq,2012,5,8
iq,2012,6,9
iq,2012,7,9
iq,2012,8,8
iq,2012,9,7
iq,2012,10,7
iq,2012,11,7
iq,2012,12,6
iq,2012,13,7
iq,2012,14,7
iq,2012,15,9
iq,2012,16,10
iq,2012,17,9
iq,2012,18,9
iq,2012,19,6
iq,2012,20,7
iq,2012,21,6
iq,2012,22,6
iq,2012,23,6
iq,2012,24,4
iq,2012,25,5
iq,2012,26,4
iq,2012,27,4
iq,2012,28,4
iq,2012,29,4
iq,2012,30,3
iq,2012,31,4
iq,2012,32,3
iq,2012,33,3
iq,2012,34,4
iq,2012,35,4
iq,2012,36,4
iq,2012,37,4
