city,year,weekofyear,total_cases
sj,2008,18,37
sj,2008,19,17
sj,2008,20,30
sj,2008,21,34
sj,2008,22,30
sj,2008,23,25
sj,2008,24,13
sj,2008,25,34
sj,2008,26,24
sj,2008,27,16
sj,2008,28,18
sj,2008,29,27
sj,2008,30,29
sj,2008,31,40
sj,2008,32,22
sj,2008,33,34
sj,2008,34,36
sj,2008,35,33
sj,2008,36,57
sj,2008,37,65
sj,2008,38,47
sj,2008,39,36
sj,2008,40,62
sj,2008,41,39
sj,2008,42,34
sj,2008,43,44
sj,2008,44,41
sj,2008,45,38
sj,2008,46,33
sj,2008,47,45
sj,2008,48,42
sj,2008,49,35
sj,2008,50,34
sj,2008,51,43
sj,2008,52,26
sj,2009,1,25
sj,2009,2,16
sj,2009,3,10
sj,2009,4,34
sj,2009,5,30
sj,2009,6,15
sj,2009,7,15
sj,2009,8,7
sj,2009,9,13
sj,2009,10,16
sj,2009,11,18
sj,2009,12,9
sj,2009,13,8
sj,2009,14,7
sj,2009,15,11
sj,2009,16,12
sj,2009,17,8
sj,2009,18,5
sj,2009,19,4
sj,2009,20,4
sj,2009,21,7
sj,2009,22,6
sj,2009,23,9
sj,2009,24,13
sj,2009,25,9
sj,2009,26,19
sj,2009,27,32
sj,2009,28,24
sj,2009,29,25
sj,2009,30,23
sj,2009,31,34
sj,2009,32,34
sj,2009,33,56
sj,2009,34,45
sj,2009,35,56
sj,2009,36,84
sj,2009,37,34
sj,2009,38,76
sj,2009,39,76
sj,2009,40,58
sj,2009,41,50
sj,2009,42,64
sj,2009,43,57
sj,2009,44,81
sj,2009,45,64
sj,2009,46,37
sj,2009,47,52
sj,2009,48,52
sj,2009,49,29
sj,2009,50,29
sj,2009,51,36
sj,2009,52,55
sj,2010,53,54
sj,2010,1,58
sj,2010,2,44
sj,2010,3,28
sj,2010,4,32
sj,2010,5,23
sj,2010,6,46
sj,2010,7,24
sj,2010,8,44
sj,2010,9,51
sj,2010,10,32
sj,2010,11,29
sj,2010,12,23
sj,2010,13,18
sj,2010,14,64
sj,2010,15,22
sj,2010,16,11
sj,2010,17,13
sj,2010,18,34
sj,2010,19,15
sj,2010,20,16
sj,2010,21,18
sj,2010,22,22
sj,2010,23,36
sj,2010,24,25
sj,2010,25,14
sj,2010,26,16
sj,2010,27,29
sj,2010,28,49
sj,2010,29,45
sj,2010,30,32
sj,2010,31,39
sj,2010,32,68
sj,2010,33,59
sj,2010,34,71
sj,2010,35,36
sj,2010,36,67
sj,2010,37,43
sj,2010,38,58
sj,2010,39,39
sj,2010,40,43
sj,2010,41,48
sj,2010,42,48
sj,2010,43,65
sj,2010,44,55
sj,2010,45,58
sj,2010,46,46
sj,2010,47,38
sj,2010,48,34
sj,2010,49,30
sj,2010,50,42
sj,2010,51,29
sj,2011,52,23
sj,2011,1,16
sj,2011,2,16
sj,2011,3,6
sj,2011,4,27
sj,2011,5,13
sj,2011,6,12
sj,2011,7,9
sj,2011,8,6
sj,2011,9,21
sj,2011,10,15
sj,2011,11,11
sj,2011,12,11
sj,2011,13,25
sj,2011,14,24
sj,2011,15,8
sj,2011,16,7
sj,2011,17,5
sj,2011,18,10
sj,2011,19,15
sj,2011,20,19
sj,2011,21,6
sj,2011,22,3
sj,2011,23,7
sj,2011,24,24
sj,2011,25,21
sj,2011,26,23
sj,2011,27,25
sj,2011,28,25
sj,2011,29,44
sj,2011,30,21
sj,2011,31,32
sj,2011,32,57
sj,2011,33,72
sj,2011,34,64
sj,2011,35,95
sj,2011,36,92
sj,2011,37,107
sj,2011,38,47
sj,2011,39,65
sj,2011,40,57
sj,2011,41,70
sj,2011,42,76
sj,2011,43,54
sj,2011,44,48
sj,2011,45,71
sj,2011,46,51
sj,2011,47,50
sj,2011,48,50
sj,2011,49,43
sj,2011,50,47
sj,2011,51,52
sj,2012,52,44
sj,2012,1,41
sj,2012,2,24
sj,2012,3,33
sj,2012,4,25
sj,2012,5,17
sj,2012,6,17
sj,2012,7,36
sj,2012,8,16
sj,2012,9,24
sj,2012,10,10
sj,2012,11,10
sj,2012,12,24
sj,2012,13,24
sj,2012,14,19
sj,2012,15,17
sj,2012,16,26
sj,2012,17,25
sj,2012,18,23
sj,2012,19,12
sj,2012,20,20
sj,2012,21,23
sj,2012,22,17
sj,2012,23,16
sj,2012,24,36
sj,2012,25,70
sj,2012,26,70
sj,2012,27,47
sj,2012,28,25
sj,2012,29,51
sj,2012,30,48
sj,2012,31,74
sj,2012,32,69
sj,2012,33,48
sj,2012,34,74
sj,2012,35,60
sj,2012,36,68
sj,2012,37,100
sj,2012,38,90
sj,2012,39,76
sj,2012,40,71
sj,2012,41,66
sj,2012,42,76
sj,2012,43,73
sj,2012,44,127
sj,2012,45,91
sj,2012,46,79
sj,2012,47,48
sj,2012,48,45
sj,2012,49,57
sj,2012,50,81
sj,2012,51,64
sj,2013,1,76
sj,2013,2,47
sj,2013,3,47
sj,2013,4,44
sj,2013,5,37
sj,2013,6,33
sj,2013,7,43
sj,2013,8,32
sj,2013,9,17
sj,2013,10,31
sj,2013,11,21
sj,2013,12,18
sj,2013,13,23
sj,2013,14,17
sj,2013,15,18
sj,2013,16,16
sj,2013,17,7
iq,2010,26,7
iq,2010,27,5
iq,2010,28,8
iq,2010,29,1
iq,2010,30,2
iq,2010,31,5
iq,2010,32,4
iq,2010,33,6
iq,2010,34,5
iq,2010,35,6
iq,2010,36,6
iq,2010,37,6
iq,2010,38,5
iq,2010,39,5
iq,2010,40,5
iq,2010,41,5
iq,2010,42,6
iq,2010,43,9
iq,2010,44,13
iq,2010,45,6
iq,2010,46,8
iq,2010,47,9
iq,2010,48,10
iq,2010,49,12
iq,2010,50,9
iq,2010,51,6
iq,2011,52,8
iq,2011,1,7
iq,2011,2,9
iq,2011,3,7
iq,2011,4,6
iq,2011,5,6
iq,2011,6,7
iq,2011,7,8
iq,2011,8,8
iq,2011,9,9
iq,2011,10,8
iq,2011,11,8
iq,2011,12,8
iq,2011,13,9
iq,2011,14,8
iq,2011,15,8
iq,2011,16,8
iq,2011,17,9
iq,2011,18,10
iq,2011,19,5
iq,2011,20,7
iq,2011,21,8
iq,2011,22,7
iq,2011,23,6
iq,2011,24,7
iq,2011,25,5
iq,2011,26,6
iq,2011,27,6
iq,2011,28,3
iq,2011,29,4
iq,2011,30,5
iq,2011,31,4
iq,2011,32,4
iq,2011,33,5
iq,2011,34,2
iq,2011,35,2
iq,2011,36,5
iq,2011,37,6
iq,2011,38,6
iq,2011,39,8
iq,2011,40,6
iq,2011,41,8
iq,2011,42,14
iq,2011,43,7
iq,2011,44,6
iq,2011,45,8
iq,2011,46,9
iq,2011,47,9
iq,2011,48,10
iq,2011,49,10
iq,2011,50,9
iq,2011,51,10
iq,2012,52,10
iq,2012,1,9
iq,2012,2,8
iq,2012,3,7
iq,2012,4,7
iq,2012,5,9
iq,2012,6,11
iq,2012,7,8
iq,2012,8,7
iq,2012,9,5
iq,2012,10,8
iq,2012,11,7
iq,2012,12,5
iq,2012,13,8
iq,2012,14,7
iq,2012,15,11
iq,2012,16,11
iq,2012,17,8
iq,2012,18,8
iq,2012,19,4
iq,2012,20,7
iq,2012,21,5
iq,2012,22,6
iq,2012,23,5
iq,2012,24,2
iq,2012,25,4
iq,2012,26,4
iq,2012,27,4
iq,2012,28,4
iq,2012,29,5
iq,2012,30,2
iq,2012,31,4
iq,2012,32,2
iq,2012,33,3
iq,2012,34,4
iq,2012,35,5
iq,2012,36,4
iq,2012,37,5
iq,2012,38,4
iq,2012,39,5
iq,2012,40,3
iq,2012,41,10
iq,2012,42,6
iq,2012,43,11
iq,2012,44,9
iq,2012,45,9
iq,2012,46,13
iq,2012,47,14
iq,2012,48,15
iq,2012,49,10
iq,2012,50,10
iq,2012,51,12
iq,2013,1,11
iq,2013,2,6
iq,2013,3,8
iq,2013,4,10
iq,2013,5,9
iq,2013,6,11
iq,2013,7,10
iq,2013,8,10
iq,2013,9,8
iq,2013,10,10
iq,2013,11,11
iq,2013,12,15
iq,2013,13,11
iq,2013,14,9
iq,2013,15,9
iq,2013,16,11
iq,2013,17,8
iq,2013,18,2
iq,2013,19,10
iq,2013,20,7
iq,2013,21,7
iq,2013,22,7
iq,2013,23,6
iq,2013,24,5
iq,2013,25,5
iq,2013,26,5
